Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
94.03,95.46,91.75,94.86,2421229,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-04-11
97.32,97.88,95.12,97.62,1221484,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-04-14
96.93,97.98,95.23,95.54,1177420,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-04-15
95.55,97.18,92.47,93.75,1299826,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-04-16
93.25,93.86,91.74,91.82,1353433,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-04-17
90.88,91.23,88.52,89.77,2156399,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-04-21
91.59,93.5,90.74,92.33,1510712,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-04-22
95.38,99.1,93.18,93.68,1703892,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-04-23
93.77,95.29,92.13,95.13,2168467,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-04-24
94.47,95.0,92.63,94.29,1390014,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-04-25
101.23,101.23,92.91,95.06,2062943,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-04-28
94.92,96.21,93.46,94.66,1772906,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-04-29
93.24,93.94,91.5,93.43,1885952,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-04-30
94.89,95.44,91.18,92.9,1725209,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-05-01
95.25,96.5,93.74,93.99,944884,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-05-02
93.49,94.27,92.58,92.83,705296,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-05-05
91.89,92.52,89.39,90.42,861366,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-05-06
91.58,91.93,89.8,91.59,924065,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-05-07
92.28,94.7,91.3,92.9,1005403,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-05-08
93.01,93.24,91.18,91.25,1330341,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-05-09
93.52,98.78,92.98,98.5,1641755,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-05-12
98.13,98.27,96.54,96.71,1168528,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-05-13
96.19,96.52,90.9,91.02,1744259,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-05-14
90.79,90.85,88.63,90.4,1820545,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-05-15
90.41,93.26,89.31,93.26,1050284,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-05-16
91.97,94.36,91.64,94.3,923113,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-05-19
94.02,94.6,93.06,93.58,1072766,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-05-20
92.27,92.62,89.78,89.83,1300352,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-05-21
89.38,90.87,89.11,90.48,1180171,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-05-22
88.65,89.77,88.01,89.33,1023528,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-05-23
91.44,92.8,90.81,92.23,1536455,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-05-27
92.24,92.46,91.28,91.34,1097981,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-05-28
92.62,93.57,91.22,91.91,1101887,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-05-29
90.62,91.64,89.47,90.42,2068378,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-05-30
89.52,89.76,88.24,89.32,837995,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-06-02
89.01,91.15,87.7,91.03,927734,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-06-03
91.46,93.32,91.34,92.4,914309,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-06-04
92.45,92.45,90.27,90.5,777069,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-06-05
91.58,92.79,90.88,91.97,903371,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-06-06
92.86,94.3,91.58,92.88,1157603,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-06-09
94.14,96.84,92.85,96.25,1793409,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-06-10
96.7,98.18,95.29,96.07,1295261,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-06-11
95.46,96.06,94.49,95.7,693975,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-06-12
93.79,95.37,93.35,93.53,672649,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-06-13
95.34,96.52,92.78,96.35,1148233,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-06-16
95.37,95.78,93.9,94.16,1157276,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-06-17
94.0,95.64,92.86,94.41,985876,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-06-18
95.05,95.69,94.14,94.99,2073084,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-06-20
94.27,95.59,93.18,94.95,809730,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-06-23
95.8,97.0,95.26,96.39,961233,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-06-24
96.16,98.47,95.28,97.7,927129,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-06-25
98.18,101.28,97.99,98.79,1381332,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-06-26
99.31,99.31,96.54,97.82,1331016,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-06-27
98.12,98.24,95.97,96.72,958879,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-06-30
96.22,102.18,96.2,99.03,866102,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-07-01
99.8,101.17,98.82,100.9,967923,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-07-02
100.54,102.12,100.01,101.31,811002,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-07-03
100.88,100.88,97.96,98.71,1004981,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-07-07
98.83,102.34,98.21,100.66,930087,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-07-08
100.81,102.09,97.84,100.13,911468,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-07-09
100.12,104.12,100.04,102.4,856765,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-07-10
101.39,101.8,100.41,101.5,676357,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-07-11
100.37,101.36,98.31,98.47,1138924,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-07-14
98.97,99.48,95.72,95.9,1120925,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-07-15
96.46,96.48,94.12,94.9,1324913,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-07-16
94.93,96.02,93.82,95.58,1449638,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-07-17
96.35,96.41,92.39,93.26,1006728,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-07-18
92.25,92.9,89.53,90.72,1351371,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-07-21
91.2,96.31,91.17,96.13,2046049,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-07-22
99.8,101.45,98.36,99.45,1637065,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-07-23
99.09,103.08,99.09,101.97,1700766,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-07-24
102.45,104.41,101.57,103.67,1999428,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-07-25
93.92,96.08,92.62,95.04,4794384,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-07-28
94.84,97.13,94.06,94.47,2512833,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-07-29
94.93,95.63,90.11,90.85,1580743,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-07-30
90.0,91.3,87.72,87.9,1488550,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-07-31
87.02,88.35,85.8,88.23,1601109,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-08-01
87.49,88.62,86.7,88.32,934613,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-08-04
88.3,89.78,87.8,88.68,1185316,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-08-05
88.47,88.66,85.12,85.9,1216338,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-08-06
87.29,87.59,85.51,86.46,808180,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-08-07
86.56,87.41,85.66,86.84,763351,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-08-08
87.55,88.32,85.69,85.8,984113,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-08-11
86.02,89.02,85.76,88.0,1845589,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-08-12
88.55,91.17,87.94,90.93,1610308,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-08-13
89.6,90.02,89.03,89.45,722929,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-08-14
90.1,91.3,89.64,90.78,1268605,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-08-15
91.16,91.39,89.4,89.69,976599,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-08-18
90.11,91.88,89.24,91.42,965382,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-08-19
91.3,92.16,90.58,91.7,1127817,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-08-20
91.25,91.61,89.51,89.67,693103,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-08-21
90.67,94.72,90.5,94.15,735939,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-08-22
93.92,94.2,91.5,92.14,699614,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-08-25
92.19,92.53,90.99,91.23,2115552,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-08-26
90.67,91.74,88.34,88.59,1619353,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-08-27
88.43,89.51,87.64,89.23,790392,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-08-28
89.04,90.35,88.56,90.11,786178,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-08-29
89.43,89.63,86.41,87.87,1302553,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-09-02
85.84,85.96,82.04,83.36,2475036,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-09-03
83.12,85.78,81.36,85.7,1245331,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-09-04
85.99,88.12,85.51,86.64,1193632,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-09-05
85.72,86.49,84.72,86.28,1026732,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-09-08
86.44,86.44,84.99,85.04,907645,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-09-09
84.75,85.57,82.47,82.5,1428737,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-09-10
82.76,85.86,82.59,85.68,833777,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-09-11
85.34,85.39,82.71,82.87,1126117,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-09-12
83.0,84.13,81.69,84.0,1304720,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-09-15
84.1,85.68,83.58,85.28,1196055,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-09-16
86.0,88.49,84.84,85.39,1523656,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-09-17
85.89,88.26,85.72,87.76,1223565,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-09-18
88.03,88.6,86.57,86.72,3530393,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-09-19
85.93,87.03,85.3,86.27,1034461,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-09-22
87.0,87.76,84.98,85.71,1069591,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-09-23
85.38,85.8,83.92,84.49,811926,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-09-24
83.92,84.84,82.47,83.04,910356,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-09-25
83.4,84.4,82.75,84.06,915336,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-09-26
84.65,85.27,83.3,84.2,913598,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-09-29
84.3,87.92,83.64,87.65,1299732,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-09-30
87.55,92.12,87.55,91.76,1274319,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-10-01
90.54,92.54,90.19,91.46,1222083,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-10-02
92.09,94.92,91.56,94.05,1293902,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-10-03
93.44,94.5,93.02,93.38,1249630,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-10-06
93.8,94.64,90.99,91.19,1303086,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-10-07
91.31,92.24,90.41,91.77,961751,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-10-08
91.83,92.5,90.86,91.66,1031953,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-10-09
91.81,92.14,88.06,88.29,1206363,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-10-10
89.0,91.44,88.62,90.98,1214467,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-10-13
90.11,92.16,88.75,91.14,1199343,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-10-14
91.21,93.37,90.92,92.12,1102306,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-10-15
92.87,95.35,92.47,94.0,1457520,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-10-16
93.22,95.16,93.22,93.42,1131927,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-10-17
94.29,97.06,94.29,95.31,1016292,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-10-20
96.79,98.29,95.8,96.89,1124289,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-10-21
96.52,98.48,95.54,95.68,1315783,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-10-22
95.8,98.12,95.45,97.57,1363030,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-10-23
99.22,100.41,97.95,98.89,2102079,0.0,0.0,RVTY,Revvity,Health Care,Health Care Equipment,2025-10-24
94.86,98.32,94.79,97.16,2664900,0.0,0.0,RVTY,"Revvity, Inc.",Healthcare,Diagnostics & Research,2025-10-27
98.33,98.39,95.74,96.45,1253100,0.0,0.0,RVTY,"Revvity, Inc.",Healthcare,Diagnostics & Research,2025-10-28
96.0,97.43,94.37,95.3,1084100,0.0,0.0,RVTY,"Revvity, Inc.",Healthcare,Diagnostics & Research,2025-10-29
94.8,95.89,90.9,91.02,1539100,0.0,0.0,RVTY,"Revvity, Inc.",Healthcare,Diagnostics & Research,2025-10-30
90.34,94.32,90.34,93.59,1163700,0.0,0.0,RVTY,"Revvity, Inc.",Healthcare,Diagnostics & Research,2025-10-31
92.58,93.12,90.73,92.97,1407400,0.0,0.0,RVTY,"Revvity, Inc.",Healthcare,Diagnostics & Research,2025-11-03
91.86,94.29,91.66,91.69,1203000,0.0,0.0,RVTY,"Revvity, Inc.",Healthcare,Diagnostics & Research,2025-11-04
91.31,93.18,90.29,92.57,899800,0.0,0.0,RVTY,"Revvity, Inc.",Healthcare,Diagnostics & Research,2025-11-05
91.74,93.32,88.85,89.52,1906300,0.0,0.0,RVTY,"Revvity, Inc.",Healthcare,Diagnostics & Research,2025-11-06
89.04,90.99,88.48,90.78,1242100,0.0,0.0,RVTY,"Revvity, Inc.",Healthcare,Diagnostics & Research,2025-11-07
91.24,92.64,91.03,92.28,1369400,0.0,0.0,RVTY,"Revvity, Inc.",Healthcare,Diagnostics & Research,2025-11-10
92.9,94.76,92.87,94.31,1049000,0.0,0.0,RVTY,"Revvity, Inc.",Healthcare,Diagnostics & Research,2025-11-11
94.06,95.22,93.89,94.13,1163100,0.0,0.0,RVTY,"Revvity, Inc.",Healthcare,Diagnostics & Research,2025-11-12
